"DRUG","CID","TIME","TAD","DV","DOSE","DOSEFLAT","NDOSES","LESION","LESIONNAME","METHOD","SET","OLDID","ID","RID","LESIONGROUP"
"CFZ",7,0,0,0,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,0.5,0.5,0,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,1,1,0.00143,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,3,3,0.0482,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,5,5,0.0974,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,7,7,0.116,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,48,0,0.107,35,0,3,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,48.5,0.5,0.0911,35,0,3,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,49,1,0.0895,35,0,3,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,51,3,0.132,35,0,3,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,53,5,0.283,35,0,3,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",7,55,7,0.273,35,0,3,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",8,0,0,0,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",8,0.5,0.5,0,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",8,1,1,0.0015,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",8,3,3,0.0386,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
"CFZ",8,5,5,0.104,35,0,1,-99,"Plasma",0,"Validation",NA,NA,NA,"Plasma"
